title,image_url,image_file
Let It Out: A Journey Through Journaling,http://books.toscrape.com/media/cache/51/fc/51fcd3e9384894e6a53a753d2ab856ee.jpg,covers/Let It Out: A Journey Through Journaling.jpg
Lady Midnight (The Dark Artifices #1),http://books.toscrape.com/media/cache/89/a6/89a61d48e93bc92537c0a2cb2c0094bb.jpg,covers/Lady Midnight (The Dark Artifices #1).jpg
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",http://books.toscrape.com/media/cache/b5/a9/b5a90d1c36a96513942f006345ace3d2.jpg,"covers/Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened.jpg"
Greek Mythic History,http://books.toscrape.com/media/cache/36/cf/36cf56c7bdf35aadbcc6f05a8e8d8fcb.jpg,covers/Greek Mythic History.jpg
God: The Most Unpleasant Character in All Fiction,http://books.toscrape.com/media/cache/1f/db/1fdb125bcb8cee71f3404b4dc293348c.jpg,covers/God: The Most Unpleasant Character in All Fiction.jpg
El Deafo,http://books.toscrape.com/media/cache/34/eb/34eb0f1b570d4f1f6ad106652f1ac6ff.jpg,covers/El Deafo.jpg
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",http://books.toscrape.com/media/cache/b1/e1/b1e15eef42c0d71596f9f9ad4e9f48b0.jpg,"covers/Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life.jpg"
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),http://books.toscrape.com/media/cache/8f/80/8f8074d9f035c2a0ef8595ad89f7bcc8.jpg,covers/Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3).jpg
Dear Mr. Knightley,http://books.toscrape.com/media/cache/78/87/78873811f8c1d75a0c26d8cc8e6a9dbc.jpg,covers/Dear Mr. Knightley.jpg
Brain on Fire: My Month of Madness,http://books.toscrape.com/media/cache/88/aa/88aad1204951e0900906173b086e6695.jpg,covers/Brain on Fire: My Month of Madness.jpg
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,http://books.toscrape.com/media/cache/74/aa/74aa29b1ba4147eaf5b46671bf235861.jpg,covers/Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again.jpg
All the Light We Cannot See,http://books.toscrape.com/media/cache/41/c3/41c37f7f0e03ee1144dd6fa89483b5d9.jpg,covers/All the Light We Cannot See.jpg
Abstract City,http://books.toscrape.com/media/cache/e7/70/e77019ebd71bcf6badb085bddf47c413.jpg,covers/Abstract City.jpg
A Time of Torment (Charlie Parker #14),http://books.toscrape.com/media/cache/e8/c0/e8c0ba15066bab950ae161fd60949b9a.jpg,covers/A Time of Torment (Charlie Parker #14).jpg
The Star-Touched Queen,http://books.toscrape.com/media/cache/d3/0d/d30dd8b6be6f9fcfd17178e8083238b6.jpg,covers/The Star-Touched Queen.jpg
The Silent Sister (Riley MacPherson #1),http://books.toscrape.com/media/cache/30/2c/302cd9c84442e139145ec0993880d7e0.jpg,covers/The Silent Sister (Riley MacPherson #1).jpg
The Epidemic (The Program 0.6),http://books.toscrape.com/media/cache/87/cd/87cd652c35e2a78535c83becae33cff2.jpg,covers/The Epidemic (The Program 0.6).jpg
Psycho: Sanitarium (Psycho #1.5),http://books.toscrape.com/media/cache/02/5c/025c30a378e2a4190e84f1429e81b803.jpg,covers/Psycho: Sanitarium (Psycho #1.5).jpg
How to Speak Golf: An Illustrated Guide to Links Lingo,http://books.toscrape.com/media/cache/d2/64/d264ad1af882ce391005dc7215ac90e7.jpg,covers/How to Speak Golf: An Illustrated Guide to Links Lingo.jpg
Everyday Italian: 125 Simple and Delicious Recipes,http://books.toscrape.com/media/cache/5a/64/5a6499d41ccaad4c4f7eeaa90e16345a.jpg,covers/Everyday Italian: 125 Simple and Delicious Recipes.jpg
Eleanor & Park,http://books.toscrape.com/media/cache/ed/d7/edd781d3c9d63a395f80f241445e88fa.jpg,covers/Eleanor & Park.jpg
"Mother, Can You Not?",http://books.toscrape.com/media/cache/ae/03/ae03f5d4d4c2ee038ac4c4ce9b71e592.jpg,"covers/Mother, Can You Not?.jpg"
Born for This: How to Find the Work You Were Meant to Do,http://books.toscrape.com/media/cache/aa/67/aa677a97ecdcbbde7471f1c90ed0cf6f.jpg,covers/Born for This: How to Find the Work You Were Meant to Do.jpg
Adultery,http://books.toscrape.com/media/cache/79/d9/79d99cfa5557be0643ba00bfcd35256b.jpg,covers/Adultery.jpg
A Gentleman's Position (Society of Gentlemen #3),http://books.toscrape.com/media/cache/f0/e0/f0e0db3edcb14293a52b51929cc72979.jpg,covers/A Gentleman's Position (Society of Gentlemen #3).jpg
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,http://books.toscrape.com/media/cache/23/c2/23c2108ae81327c7f3fb0721976cba5e.jpg,covers/10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!.jpg
Without Shame,http://books.toscrape.com/media/cache/90/86/9086ca3d1d5c4059beb7dcf762926e1e.jpg,covers/Without Shame.jpg
The New Brand You: Your New Image Makes the Sale for You,http://books.toscrape.com/media/cache/9b/33/9b33c7a5431415614f7b788e0c1552c9.jpg,covers/The New Brand You: Your New Image Makes the Sale for You.jpg
The Art and Science of Low Carbohydrate Living,http://books.toscrape.com/media/cache/4b/d4/4bd43108fb070ad8ebba9cdb00b14069.jpg,covers/The Art and Science of Low Carbohydrate Living.jpg
Suzie Snowflake: One beautiful flake (a self-esteem story),http://books.toscrape.com/media/cache/db/cc/dbcc9d63b73ce9058d53f36465dbe2b2.jpg,covers/Suzie Snowflake: One beautiful flake (a self-esteem story).jpg
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),http://books.toscrape.com/media/cache/06/e2/06e2e125d332e2e09a64816ff915b859.jpg,covers/The Unlikely Pilgrimage of Harold Fry (Harold Fry #1).jpg
Smarter Faster Better: The Secrets of Being Productive in Life and Business,http://books.toscrape.com/media/cache/21/88/21889b1eddaec853b02a41bdd06eef54.jpg,covers/Smarter Faster Better: The Secrets of Being Productive in Life and Business.jpg
Shadows of the Past (Logan Point #1),http://books.toscrape.com/media/cache/93/e0/93e0ec623673a8f83598c9aa7b6c94ec.jpg,covers/Shadows of the Past (Logan Point #1).jpg
Roller Girl,http://books.toscrape.com/media/cache/b8/bd/b8bd3e5bc547c7c851689a844c9db429.jpg,covers/Roller Girl.jpg
Out of Print: City Lights Spotlight No. 14,http://books.toscrape.com/media/cache/93/d5/93d5c64abfad9ed6a0cb2e26f19f1a1e.jpg,covers/Out of Print: City Lights Spotlight No. 14.jpg
My Life Next Door (My Life Next Door ),http://books.toscrape.com/media/cache/98/00/98001a78a78ab77027145ff586d64431.jpg,covers/My Life Next Door (My Life Next Door ).jpg
Les Fleurs du Mal,http://books.toscrape.com/media/cache/36/5b/365b3ab7ab72a6258873716aef6d5c1a.jpg,covers/Les Fleurs du Mal.jpg
Kill 'Em and Leave: Searching for James Brown and the American Soul,http://books.toscrape.com/media/cache/85/42/8542841f5644a6daf433504f1e106e97.jpg,covers/Kill 'Em and Leave: Searching for James Brown and the American Soul.jpg
Future Shock (Future Shock #1),http://books.toscrape.com/media/cache/89/10/8910c36eec96636288a9cfb61610c9fa.jpg,covers/Future Shock (Future Shock #1).jpg
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",http://books.toscrape.com/media/cache/11/af/11af7fbd6aec06a75fe207fae92b17e0.jpg,"covers/""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination.jpg"
What Happened on Beale Street (Secrets of the South Mysteries #2),http://books.toscrape.com/media/cache/c7/ab/c7abb5e32bd37118a87523dcee0a70a6.jpg,covers/What Happened on Beale Street (Secrets of the South Mysteries #2).jpg
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),http://books.toscrape.com/media/cache/95/d7/95d7541679fcbd579b8a4f2b47231aaf.jpg,covers/The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1).jpg
Team of Rivals: The Political Genius of Abraham Lincoln,http://books.toscrape.com/media/cache/56/75/567575381760b5c1ec018d10d350fc5f.jpg,covers/Team of Rivals: The Political Genius of Abraham Lincoln.jpg
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",http://books.toscrape.com/media/cache/e6/b6/e6b66353f9325518994dd8b564290fd7.jpg,"covers/Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories.jpg"
Leave This Song Behind: Teen Poetry at Its Best,http://books.toscrape.com/media/cache/31/c7/31c7c5ce7b04d227aa36ecb250b9dad5.jpg,covers/Leave This Song Behind: Teen Poetry at Its Best.jpg
King's Folly (The Kinsman Chronicles #1),http://books.toscrape.com/media/cache/3e/2d/3e2d526ee062008ab1cbf54f90a5abb2.jpg,covers/King's Folly (The Kinsman Chronicles #1).jpg
Good in Bed (Cannie Shapiro #1),http://books.toscrape.com/media/cache/1d/f4/1df443b1bd6d7a1d804b4780a666438f.jpg,covers/Good in Bed (Cannie Shapiro #1).jpg
